ticker,source,timestamp,raw_text,sentiment_score,label,scored_by
AAPL,stocktwits,2026-07-09T02:11:51Z,"U.S. stock index futures were little changed Wednesday night after a mostly lower Wall Street session, as investors weighed escalating tensions between the U.S. and Iran that threatened to derail a temporary peace agreement. S&amp;P 500 futures were flat, Nasdaq 100 futures rose 0.2%, and Dow futures were largely unchanged. 
Earlier, the Dow fell 1.1%, the S&amp;P 500 slipped 0.3%, while the Nasdaq gained 0.2%, supported by strength in semiconductor stocks. Investor sentiment weakened after President Donald Trump said the ceasefire with Iran was effectively over, followed by reports of new U.S. strikes on Iranian targets and warnings of retaliation from Tehran. 
The renewed conflict pushed oil prices sharply higher, raising concerns about disruptions to shipping through the Strait of Hormuz and adding to inflation worries. Meanwhile, technology stocks outperformed, with Broadcom rallying after announcing a major chip supply agreement with Apple, while Nvidia also advanced 
 $AVGO $AAPL $NVDA  $IWM",,,
AAPL,stocktwits,2026-07-09T01:59:19Z,$SPY $TSLA $MU $AAPL $NVDA,,,
AAPL,stocktwits,2026-07-09T01:57:28Z,"&quot;China’s consumer prices grew slower than expected in June, while wholesale inflation accelerated, as elevated energy costs continued to sap domestic demand.&quot;

$SPY $TSLA $MU $AAPL $NVDA",,,
AAPL,stocktwits,2026-07-09T01:56:21Z,"$AAPL The entities that run this world do not want a world war 3. It is in their best interest to preserve global infrastructure. Rather, they would take measures to reduce the population by other means. The main weapon is making it too expensive to have children.",1.0,bullish,stocktwits_label
AAPL,stocktwits,2026-07-09T01:52:14Z,"$AAPL trades more smoothly now and is a more manly company, now that an  effeminate homosexual is no longer in charge..",1.0,bullish,stocktwits_label
AAPL,stocktwits,2026-07-09T01:48:46Z,"$AAPL $AMD $BE $NVDA $SOXL 
If you’re so worried about WW3, why you so hung up on the price of some semiconductors? Shouldn’t you be making some preparations for our impending doom?",1.0,bullish,stocktwits_label
AAPL,stocktwits,2026-07-09T01:44:48Z,"$AAPL I like Apple and most its products, but I’m unsure of why its reached this price",,,
AAPL,stocktwits,2026-07-09T01:43:55Z,$AAPL  I changed my mind. I want socialism we will take our chances.! Right??,,,
AAPL,stocktwits,2026-07-09T01:38:26Z,"$HPQ is underperforming the market by quite a lot... 
 
But take a look at their key KPI&#39;s, which are still doing fine 
 
Worth a look 
 
$HPE $AAPL $LOGI $SMCI",,,
AAPL,stocktwits,2026-07-09T01:27:20Z,"$AAPL a complete and utter embarrassment, but this country has been turned into from the mainstream media the Democrat party is a disgrace to humanity in the USA.",,,
AAPL,stocktwits,2026-07-09T01:26:18Z,$AAPL What you give is what you get,,,
AAPL,stocktwits,2026-07-09T01:25:57Z,$NVDA &amp; $AAPL competing for top dog is a good thing. $SPY $QQQ,1.0,bullish,stocktwits_label
AAPL,stocktwits,2026-07-09T01:19:50Z,"$SPY 
$AAPL ripped for us",,,
AAPL,stocktwits,2026-07-09T01:15:37Z,"$AAPL &quot;BREAK OUT NEWS&quot; Yearn Finance
https://yearn.fi
Yearn Vaults",1.0,bullish,stocktwits_label
AAPL,stocktwits,2026-07-09T01:14:51Z,"$AAPL Yearn Finance
https://yearn.fi
Yearn Vaults Yearn finance the new Bitcoin 100k price target. Total supply 36k",1.0,bullish,stocktwits_label
AAPL,stocktwits,2026-07-09T01:03:16Z,$AAPL -:https://x.com/leshka_eth/status/2074853064427933921?s=46&amp;t=Xq7UFW3u8B-l5R2nfYmJ2w,,,
AAPL,stocktwits,2026-07-09T00:41:45Z,$AAPL  black fatigue is a astounding!!!!,,,
AAPL,stocktwits,2026-07-09T00:30:16Z,"$QQQ $SPY $NVDA $AAPL  
 
Looks like the consolidation period is just about done and we&#39;re getting ready for the next leg up. 
 
🙃",,,
AAPL,stocktwits,2026-07-09T00:24:55Z,$AAPL zero strength in after hours tells us all we need to know about tomorrow,-1.0,bearish,stocktwits_label
AAPL,stocktwits,2026-07-09T00:21:09Z,$AMD $NVDA $AAPL $BE $SOXL ww3 resuming potus is in big trouble if semis can&#39;t save him this time!,-1.0,bearish,stocktwits_label
AAPL,stocktwits,2026-07-09T00:13:57Z,$AAPL  pansy AHHZZ ahzzz ole munching libbbvtrrrdzzz!  This this to this. Country is doomed. The USA is fucking doomed.,,,
AAPL,stocktwits,2026-07-08T23:58:04Z,"HOUR stock can 10X from here - most undervalued penny stock in the market  
 
- 1.8M float with zero dilution 
 
- did 143M in revenue last year with around $2M in net profit (doing the best numbers since they went public ) 
 
- insiders have never sold (even when this hit 7+) and the top two holders both own around 17M shares and are incentivized to boost numbers again this year  
 
$AAPL $META $DELL adding for long term",,,
AAPL,stocktwits,2026-07-08T23:50:13Z,$AAPL,,,
AAPL,stocktwits,2026-07-08T23:40:36Z,$AAPL,,,
AAPL,stocktwits,2026-07-08T23:40:23Z,$AAPL,,,
AAPL,stocktwits,2026-07-08T23:40:16Z,$AAPL Trump don’t play.,,,
AAPL,stocktwits,2026-07-08T23:35:57Z,$AAPL  🛑🛑🛑all I hear is crickets. It’s the end of USA. The white race is being dwarfed  by the BLM and the immigrant infiltration.. I highly recommend prepare yourselves. We Caucasians are not the enemy. We had our￼ time for 250 years now it’s all over!!!!!! as we know everything changes in time. Prepare yourselves.,,,
AAPL,stocktwits,2026-07-08T23:35:48Z,$AAPL Albert Pike Father of  freemason laid this framework for the Bolsheviks,,,
AAPL,stocktwits,2026-07-08T23:25:36Z,$AAPL,,,
AAPL,stocktwits,2026-07-08T23:25:22Z,$AAPL  whatever possessed God in heaven to create this race is beyond me? They just stood there and did nothing.. we tell you Democrats something. The white race is now considered the enemy. It’s not gonna matter a Democrat or not it’s going to be the color of your skin. Do you recommend prepare yourself? You have been warned. Just watch all those videos on social media. Prepare yourself.. the white race is now considered the enemy..  also add the Muslim takeover!  a recipe for disaster!,,,
ABNB,stocktwits,2026-07-09T00:06:34Z,"$ABNB
Current Stock Price: $142.97
Contracts to trade: $143.0 ABNB Jul 10 2026 Call
Entry: $1.54
Exit: $2.67
ROI: 73%
Hold ~27 days

Shared as daily free alerts and for educational purposes only. https://dailypickai.com/freealerts",,,
ABNB,stocktwits,2026-07-08T16:34:31Z,$ABNB added at 142,1.0,bullish,stocktwits_label
ABNB,stocktwits,2026-07-08T15:31:36Z,$ABNB,1.0,bullish,stocktwits_label
ABNB,stocktwits,2026-07-08T15:14:25Z,$ABNB nice add today at $142,,,
ABNB,stocktwits,2026-07-08T13:56:41Z,$ABNB LOL okay,,,
ABNB,stocktwits,2026-07-08T13:44:18Z,$ABNB I’m betting this is the last backtest. But this stock is a POS so I could be wrong and will cut loose quickly.,,,
ABNB,stocktwits,2026-07-08T13:36:29Z,$ABNB bought,,,
ABNB,stocktwits,2026-07-08T11:55:25Z,$ABNB $180 soon.,1.0,bullish,stocktwits_label
ABNB,stocktwits,2026-07-07T18:32:54Z,$ABNB break 150 so we can go to 180,,,
ABNB,stocktwits,2026-07-07T15:05:43Z,"$ABNB darvas box setup. Trigger: $147.27. Measured target ~+16%. 
My scanner flagged it pre-open. Watching the level.",1.0,bullish,stocktwits_label
ABNB,stocktwits,2026-07-07T10:29:43Z,$ABNB took a small position here yesterday. Travel heating up,1.0,bullish,stocktwits_label
ABNB,stocktwits,2026-07-06T23:06:03Z,$MNTS $RDW $ZS $ABNB $MU Thanks for the tip,,,
ABNB,stocktwits,2026-07-06T20:41:35Z,"Three weeks ago, I gave you: 
 
A set of market ideas, levels, or watchlist names based on the conditions at that time. 
 
$MNTS from $4.5 to $6.58 (46.22%) 
$RDW from $8.5 to $11.36 (33.65%) 
$ZS from $115 to $150.42 (30.80%) 
$ABNB from $120 to $147.65 (23.04%) 
$MU from $800 to $984.75 (23.09%) 
 
Don&#39;t wait until the move is already historical data. Fresh trading strategies and updated levels are now live on my feed. Make sure your alerts are active so you catch the next setup right at the execution zone.",,,
ABNB,stocktwits,2026-07-06T20:19:13Z,"$ABNB          Looks like an ABNB rental  lol  :)  
https://x.com/TaraBull/status/2073904630933619052?s=20",-1.0,bearish,stocktwits_label
ABNB,stocktwits,2026-07-06T08:25:09Z,$ABNB $180 soon.,1.0,bullish,stocktwits_label
ABNB,stocktwits,2026-07-06T00:51:02Z,"$ABNB the world cup is making this go parabolic, so much profits $BKNG $TCOM $TRIP",1.0,bullish,stocktwits_label
ABNB,stocktwits,2026-07-05T22:51:03Z,"$ABNB forming a massive 5-year IPO base.  
 
Monthly moving averages are getting incredibly coiled as volume dries off.  
 
Not a ton of eyes on this setup yet, but the travel sector has been heating up recently.  
 
Could be positioning for a big move if it clears $150.2.",,,
ABNB,stocktwits,2026-07-05T02:46:48Z,"$ABNB do with this information, what you will.",,,
ABNB,stocktwits,2026-07-04T01:24:31Z,$ABNB,1.0,bullish,stocktwits_label
ABNB,stocktwits,2026-07-03T21:45:31Z,$ABNB Could this finally break out this month? Looks great if it does! Added to the long term portfolio,1.0,bullish,stocktwits_label
ABNB,stocktwits,2026-07-03T16:02:00Z,$AMD $META Mental gymnastics? Is that what you call market innovation? $UBER saw a market need when they introduced their app and created a multi billion dollar industry. Turo did the same when they made a market place available for people rent personal vehicles to others. $ABNB did the same with making it easier for landlords to rent out properties for short stays. This is what you call innovation and emerging markets. When there is demand is when opportunities are ripe for new/existing markets and new pioneering idea&#39;s grow.,1.0,bullish,stocktwits_label
ABNB,stocktwits,2026-07-03T14:26:07Z,$ABNB Should be at 300,1.0,bullish,stocktwits_label
ABNB,stocktwits,2026-07-02T15:43:45Z,$ABNB if you want to follow this big trader https://x.com/Altjxcx1990/status/2072707727327924659?s=20,,,
ABNB,stocktwits,2026-07-01T15:16:23Z,"$TZOO $EXPE $BKNG $ABNB Put Travelzoo on your watchlist. It will make a third run to 100 for various reasons. They are locking up the shares with over 1.7M shares bought back in the last 18 months. The public float is less than 2 million. The outstanding shares are 9.9M. As soon as they finish what&#39;s left of the 1M share buyback, they will have about 200k shares left. Insiders own 40%, and institutions own 40%. The CEO&#39;s main income is from options that are at 5 to 9 dollar strikes. It will be hitting 52-week highs this month. Today&#39;s price is already a 52-week high as of July 25, which is in a few weeks. Once it breaks mid 20s it will be off to the races!",,,
ABNB,stocktwits,2026-07-01T14:58:15Z,$ABNB this sleeping giant has woken up $PLTR $NVDA $MU $META,1.0,bullish,stocktwits_label
ABNB,stocktwits,2026-06-30T23:54:03Z,"Airbnb is facing a lawsuit from the City of Los Angeles over alleged price gouging during the January 2025 Southern California wildfires, after a California judge ruled the case can proceed. The city alleges Airbnb violated California law and the Los Angeles municipal code by advertising and collecting rental prices that exceeded legal limits during the state of emergency, even though hosts set the listing prices. 
The lawsuit, filed in July, claims rental prices at more than 2,600 properties increased by more than the 10% cap permitted under California&#39;s anti-price-gouging law, which was triggered by Governor Gavin Newsom&#39;s emergency declaration and later extended multiple times. City officials also challenged Airbnb&#39;s Smart Pricing tool, arguing the company played an active role in determining and displaying rental rates during the crisis. 
$ABNB",,,
ABNB,stocktwits,2026-06-30T19:28:07Z,$ABNB stopped out,-1.0,bearish,stocktwits_label
ABNB,stocktwits,2026-06-30T19:13:43Z,$ABNB  What is the game.. FiFA world cup plus summer vacation.,1.0,bullish,stocktwits_label
ABNB,stocktwits,2026-06-30T13:28:31Z,$ABNB $180 soon.,1.0,bullish,stocktwits_label
